ID,age,height,gender,physician,minutestowork,worksatis,hoursworked,children,siblings,morningdrink,likestats,confidence
1,27,70,M,Y,15,3,40,0,2,Tea,2,N
2,29,70,M,Y,15,5,50,0,3,Tea,5,Y
3,24,62,F,N,30,4,40,0,1,Tea,3,N
4,33,67,M,Y,14,4,70,0,1,Tea,5,N
5,57,69,M,Y,25,4,48,3,2,Coffee,3,N
6,30,63,F,N,30,4,47,0,2,Coffee,3,N
7,31,76,M,Y,30,4,50,1,2,Coffee,3,N
8,38,67,M,N,25,4,46,2,2,Tea,4,N
9,35,69,M,Y,35,5,60,3,1,Coffee,4,Y
10,28,70,M,N,50,5,60,1,0,Neither,4,N
11,44,68,M,N,90,4,45,1,2,Tea,3,N
12,29,68,M,Y,5,1,60,1,1,Neither,5,Y
13,36,68,M,Y,20,5,60,0,1,Neither,5,Y
14,26,72,M,Y,10,5,45,0,0,Coffee,4,N
15,30,65,F,Y,20,5,70,0,0,Coffee,5,N
16,38,72,M,N,20,4,60,2,3,Coffee,3,N
17,33,69,M,Y,20,5,84,0,2,Neither,5,Y
18,30,66,F,N,35,4,45,0,0,Neither,4,N
19,29,75,M,N,15,5,70,0,1,Coffee,1,N
20,32,67,F,Y,18,4,50,0,2,Coffee,3,N
21,30,63,F,Y,60,3,60,0,2,Coffee,3,N
22,32,65,F,Y,20,4,60,0,1,Coffee,2,N
23,29,63,F,Y,30,4,60,0,1,Tea,3,N
24,27,67,M,N,70,4,40,0,1,Coffee,4,Y
25,31,64,F,Y,5,4,70,0,1,Coffee,1,N
26,54,63,F,Y,15,2,50,0,4,Coffee,5,N
27,32,66,F,N,70,5,40,0,1,Tea,1,N
28,28,67,M,Y,35,3,40,0,0,Neither,4,N
29,29,71,M,Y,15,4,80,0,0,Coffee,2,N
30,32,66,F,N,30,5,50,0,1,Tea,3,Y
31,36,63,F,N,30,3,60,1,1,Tea,4,N
32,30,72,M,Y,45,3,40,0,1,Coffee,3,N
33,42,68,M,Y,10,4,80,0,4,Tea,5,N
34,48,72,M,N,22,5,58,2,1,Coffee,4,Y
35,45,65,M,Y,15,3,48,3,4,Coffee,4,N
36,33,68,F,N,45,3,35,1,1,Neither,4,Y
37,30,68,M,Y,20,4,60,0,1,Coffee,5,N
38,25,70,M,Y,15,4,60,0,1,Coffee,4,N
39,55,68,M,Y,30,4,60,0,9,Neither,4,N
40,31,78,M,Y,20,4,50,0,1,Coffee,4,N
41,39,63,F,N,15,4,45,0,1,Coffee,2,N
42,34,64,F,Y,20,4,40,1,1,Coffee,3,N
43,34,70,F,Y,30,4,60,0,1,Tea,1,N
44,36,62,F,Y,30,4,50,1,1,Coffee,3,N
45,32,73,M,Y,25,4,40,1,2,Coffee,3,N
46,32,70,M,N,30,4,40,0,2,Tea,5,N
47,40,65,F,Y,25,2,45,2,1,Coffee,5,N
48,38,65,F,Y,5,4,56,1,1,Coffee,5,N
49,30,67,F,Y,40,4,50,1,4,Coffee,4,N
50,31,64,F,Y,60,4,40,1,2,Coffee,5,N
51,36,65,F,Y,20,4,60,0,1,Tea,3,N
52,34,64,F,Y,20,5,70,1,3,Tea,5,Y
53,34,65,F,Y,30,4,40,1,1,Coffee,3,N
54,35,70,F,Y,30,5,50,0,2,Tea,1,N
55,33,62,F,Y,10,5,40,0,2,Neither,4,Y
56,42,72,M,Y,30,3,60,3,1,Coffee,4,N
57,55,69,F,N,45,4,40,5,2,Coffee,2,N
58,35,62,F,Y,15,2,60,1,3,Coffee,5,N
59,38,64,F,N,10,4,43,2,4,Coffee,4,Y
60,61,64,F,Y,20,5,60,3,3,Neither,5,N
61,31,68,F,N,40,4,45,2,3,Coffee,5,Y
62,64,67,F,Y,60,5,60,1,0,Coffee,2,N
63,31,60,F,N,30,4,50,0,1,Neither,4,N
64,33,73,M,Y,15,5,65,0,0,Coffee,2,N
65,26,72,M,Y,15,5,80,0,2,Coffee,4,N
66,36,73,M,Y,55,5,85,3,3,Coffee,2,N
67,36,67,F,N,25,4,55,0,1,Coffee,4,N
68,39,67,F,N,80,3,50,2,1,Tea,2,N
69,39,67,M,Y,25,4,45,2,1,Coffee,4,N
70,32,63,F,Y,15,3,50,0,2,Tea,2,N
71,24,71,M,Y,50,4,45,0,2,Tea,4,Y
